
2024/03/21 (21:46:43) | ===> btop++ v.1.2.13
2024/03/21 (21:46:43) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/03/21 (21:46:48) | ===> btop++ v.1.2.13
2024/03/21 (21:46:48) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/03/21 (21:47:35) | ===> btop++ v.1.2.13
2024/03/21 (21:47:35) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/03/21 (21:51:40) | ===> btop++ v.1.2.13
2024/03/21 (21:51:40) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/03 (15:59:50) | ===> btop++ v.1.2.13
2024/04/03 (15:59:50) | ERROR: Exception in runner thread -> Cpu:: -> key not found
